id,category,level,cefr,answer,sentence_en,sentence_ko,meaning,tts_text,display_sentence,frequency,chunk_type,difficulty_axis,use_case
1,greeting,1,A1-A2,How,___ are you doing today?,오늘 어떻게 지내세요?,어떻게,How are you doing today?,How are you doing today?,high,single_word,usage,"{""greeting"",""smalltalk""}"
2,greeting,1,A1-A2,meet,Nice to ___ you.,만나서 반가워요.,만나다,Nice to meet you.,Nice to meet you.,high,single_word,usage,"{""greeting"",""introduction""}"
3,greeting,1,A1-A2,name,My ___ is Daniel.,제 이름은 다니엘이에요.,이름,My name is Daniel.,My name is Daniel.,high,single_word,spelling,"{""introduction"",""greeting""}"
4,greeting,1,A1-A2,from,Where are you ___?,어디서 오셨어요?,"~에서, 출신",Where are you from?,Where are you from?,high,single_word,usage,"{""introduction"",""smalltalk""}"
5,greeting,1,A1-A2,fine,"I'm ___, thanks.","전 괜찮아요, 고마워요.",괜찮은,"I'm fine, thanks.","I'm fine, thanks.",high,single_word,meaning,"{""greeting"",""smalltalk""}"
6,greeting,1,A1-A2,later,See you ___.,나중에 봐요.,나중에,See you later.,See you later.,high,single_word,usage,"{""farewell"",""greeting""}"
7,greeting,1,A1-A2,weekend,How was your ___?,주말 어떻게 보냈어요?,주말,How was your weekend?,How was your weekend?,high,single_word,spelling,"{""smalltalk"",""greeting""}"
8,greeting,1,A1-A2,morning,"Good ___, everyone.",모두들 좋은 아침이에요.,아침,"Good morning, everyone.","Good morning, everyone.",high,single_word,spelling,"{""greeting"",""workplace""}"
9,greeting,1,A1-A2,again,It's nice to see you ___.,다시 만나서 반가워요.,다시,It's nice to see you again.,It's nice to see you again.,high,single_word,usage,"{""greeting"",""reunion""}"
10,greeting,1,A1-A2,too,Nice to meet you ___.,저도 만나서 반가워요.,~도,Nice to meet you too.,Nice to meet you too.,high,single_word,usage,"{""greeting"",""introduction""}"
11,greeting,1,A1-A2,day,Have a great ___!,좋은 하루 보내세요!,"날, 하루",Have a great day!,Have a great day!,high,single_word,usage,"{""farewell"",""greeting""}"
12,greeting,1,A1-A2,long,It's been a ___ time.,오랜만이에요.,(시간이) 긴,It's been a long time.,It's been a long time.,high,single_word,usage,"{""reunion"",""greeting""}"
13,greeting,1,A1-A2,doing,What are you ___ these days?,요즘 뭐 하고 지내세요?,하고 있는,What are you doing these days?,What are you doing these days?,high,single_word,usage,"{""smalltalk"",""greeting""}"
14,greeting,1,A1-A2,good,Have a ___ night.,좋은 밤 보내세요.,좋은,Have a good night.,Have a good night.,high,single_word,usage,"{""farewell"",""greeting""}"
15,greeting,1,A1-A2,bye,"I have to go now, ___.","이제 가봐야 해요, 안녕.",안녕(작별),"I have to go now, bye.","I have to go now, bye.",high,single_word,pronunciation,"{""farewell"",""greeting""}"
16,greeting,1,A1-A2,introduce,Let me ___ myself.,제 소개를 할게요.,소개하다,Let me introduce myself.,Let me introduce myself.,high,single_word,spelling,"{""introduction"",""greeting""}"
17,greeting,1,A1-A2,call,You can ___ me Dan.,댄이라고 부르셔도 돼요.,부르다,You can call me Dan.,You can call me Dan.,high,single_word,usage,"{""introduction"",""greeting""}"
18,greeting,1,A1-A2,here,I'm new ___.,전 여기 처음이에요.,여기,I'm new here.,I'm new here.,high,single_word,usage,"{""introduction"",""workplace""}"
19,greeting,1,A1-A2,yourself,Take care of ___.,몸 잘 챙기세요.,당신 자신,Take care of yourself.,Take care of yourself.,high,single_word,spelling,"{""farewell"",""greeting""}"
20,greeting,1,A1-A2,everyone,"Hi ___, I'm Mina.","안녕하세요 여러분, 저는 미나예요.",모두,"Hi everyone, I'm Mina.","Hi everyone, I'm Mina.",high,single_word,spelling,"{""introduction"",""greeting""}"
21,greeting,1,A1-A2,see,Hope to ___ you soon.,곧 또 봐요.,보다,Hope to see you soon.,Hope to see you soon.,high,single_word,usage,"{""farewell"",""greeting""}"
22,greeting,1,A1-A2,nice,Have a ___ trip.,즐거운 여행 되세요.,"즐거운, 좋은",Have a nice trip.,Have a nice trip.,high,single_word,usage,"{""farewell"",""travel""}"
23,greeting,1,A1-A2,sorry,I'm ___ I'm late.,늦어서 죄송해요.,미안한,I'm sorry I'm late.,I'm sorry I'm late.,high,single_word,pronunciation,"{""greeting"",""workplace""}"
24,greeting,1,A1-A2,pleasure,It's a ___ to meet you.,만나 뵙게 되어 영광입니다.,"기쁨, 영광",It's a pleasure to meet you.,It's a pleasure to meet you.,high,single_word,spelling,"{""introduction"",""greeting""}"
25,greeting,1,A1-A2,happy,I'm ___ to be here.,여기 오게 되어 기뻐요.,기쁜,I'm happy to be here.,I'm happy to be here.,high,single_word,usage,"{""greeting"",""introduction""}"
26,greeting,1,A1-A2,busy,Have you been ___?,바빴어요?,바쁜,Have you been busy?,Have you been busy?,high,single_word,usage,"{""smalltalk"",""greeting""}"
